order_id,order_date,city,state,sales_channel,store_type,product_category,quantity,unit_price,discount_percent,net_sales_amount,payment_mode,customer_gender,customer_age,sales
ORD1000000,2023-05-17,Bhopal,Madhya Pradesh,Online,Online Only,Sunglasses,3,1659,0,4977.0,Net Banking,Female,25,4977
ORD1000001,2022-04-24,Faridabad,Haryana,Online,Online Only,Computer Glasses,1,3891,0,3891.0,Credit Card,Female,36,3891
ORD1000002,2022-06-05,Kolkata,West Bengal,Offline,Standalone Store,Contact Lenses,3,4243,10,11456.1,Debit Card,Female,41,12729
ORD1000003,2024-03-24,Ahmedabad,Gujarat,Offline,Online Only,Sunglasses,3,2484,0,7452.0,Credit Card,Female,41,7452
ORD1000004,2024-08-17,Ahmedabad,Gujarat,Online,Online Only,Contact Lenses,2,3232,0,6464.0,Debit Card,Other,38,6464
ORD1000005,2024-08-31,Jaipur,Rajasthan,Offline,High Street Store,Computer Glasses,1,4184,10,3765.6,Cash,Other,61,4184
ORD1000006,2025-06-20,Hyderabad,Telangana,Online,Online Only,Eyeglasses,1,1273,10,1145.7,Net Banking,Male,59,1273
ORD1000007,2024-05-01,Ahmedabad,Gujarat,Online,Online Only,Eyeglasses,3,988,0,2964.0,UPI,Male,61,2964
ORD1000008,2022-10-08,Patna,Bihar,Offline,Standalone Store,Sunglasses,3,2066,10,5578.2,Net Banking,Female,20,6198
ORD1000009,2025-09-02,Lucknow,Uttar Pradesh,Offline,Standalone Store,Computer Glasses,1,4689,15,3985.65,Cash,Male,26,4689
ORD1000010,2023-12-19,Ahmedabad,Gujarat,Online,Online Only,Sunglasses,3,3234,20,7761.6,UPI,Female,31,9702
ORD1000011,2023-01-11,Lucknow,Uttar Pradesh,Offline,Standalone Store,Contact Lenses,2,2840,5,5396.0,Cash,Other,19,5680
ORD1000012,2023-08-18,Noida,Uttar Pradesh,Offline,Standalone Store,Eyeglasses,3,2277,10,6147.9,Net Banking,Other,25,6831
ORD1000013,2024-05-23,Cuttack,Odisha,Online,Online Only,Sunglasses,3,833,20,1999.2,Cash,Female,53,2499
ORD1000014,2025-03-27,Indore,Madhya Pradesh,Offline,High Street Store,Contact Lenses,2,4742,15,8061.4,UPI,Male,23,9484
ORD1000015,2025-12-04,Chennai,Tamil Nadu,Online,Online Only,Sunglasses,2,4642,0,9284.0,UPI,Female,35,9284
ORD1000016,2024-04-30,Bhubaneswar,Odisha,Online,Online Only,Computer Glasses,2,960,5,1824.0,UPI,Other,53,1920
ORD1000017,2024-03-10,Bhopal,Madhya Pradesh,Online,Online Only,Contact Lenses,2,4141,0,8282.0,UPI,Female,40,8282
ORD1000018,2024-08-19,Patna,Bihar,Offline,Online Only,Sunglasses,1,1136,10,1022.4,Credit Card,Female,41,1136
ORD1000019,2025-06-12,Kolkata,West Bengal,Online,Online Only,Contact Lenses,2,1178,5,2238.2,UPI,Male,46,2356
ORD1000020,2022-04-23,Faridabad,Haryana,Online,Online Only,Eyeglasses,3,4683,0,14049.0,Net Banking,Other,24,14049
ORD1000021,2023-11-06,Mumbai,Maharashtra,Online,Online Only,Eyeglasses,1,2826,5,2684.7,Credit Card,Male,28,2826
ORD1000022,2022-09-28,Indore,Madhya Pradesh,Offline,Online Only,Computer Glasses,3,1190,15,3034.5,Cash,Other,50,3570
ORD1000023,2025-11-18,Gurugram,Haryana,Online,Online Only,Sunglasses,3,4360,5,12426.0,Cash,Other,58,13080
ORD1000024,2024-03-18,Jaipur,Rajasthan,Offline,High Street Store,Sunglasses,3,999,10,2697.3,UPI,Female,51,2997
ORD1000025,2024-04-01,Ranchi,Jharkhand,Online,Online Only,Eyeglasses,1,3253,15,2765.05,Cash,Male,54,3253
ORD1000026,2025-04-06,Bhopal,Madhya Pradesh,Offline,Mall Store,Contact Lenses,3,3530,10,9531.0,Cash,Female,44,10590
ORD1000027,2023-01-04,Cuttack,Odisha,Offline,Online Only,Sunglasses,3,3489,15,8896.95,Cash,Male,43,10467
ORD1000028,2024-06-23,Ahmedabad,Gujarat,Online,Online Only,Sunglasses,3,1669,0,5007.0,UPI,Other,32,5007
ORD1000029,2022-02-21,Ahmedabad,Gujarat,Online,Online Only,Sunglasses,3,2283,5,6506.55,Credit Card,Other,49,6849
ORD1000030,2023-04-22,Lucknow,Uttar Pradesh,Online,Online Only,Computer Glasses,3,1362,10,3677.4,Cash,Male,21,4086
ORD1000031,2023-04-27,Kolkata,West Bengal,Online,Online Only,Sunglasses,2,2477,15,4210.9,Credit Card,Male,53,4954
ORD1000032,2022-01-12,Bengaluru,Karnataka,Offline,High Street Store,Eyeglasses,1,2521,15,2142.85,UPI,Male,45,2521
ORD1000033,2022-03-11,Delhi,Delhi,Offline,Mall Store,Eyeglasses,2,3528,15,5997.6,Debit Card,Male,23,7056
